month,noCDI,rep_1stcomp_any_mo,rep_1stcompN_mo,obs3w,rep3w,obsp,repp,obst,rept,vocab_type,wordcount,obs3w_label,rep3w_label,obsp_label,repp_label,subj
10,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,127,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",623
11,FALSE,6,6,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,CDIcomp,147,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",623
12,FALSE,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,195,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",623
13,FALSE,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,CDIcomp,220,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",623
14,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,233,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",623
15,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,262,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",623
16,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,293,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",623
17,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,302,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",623
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,317,NA,NA,NA,NA,623
6,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,8,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",279
7,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,11,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",279
8,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,11,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",279
9,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,14,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",279
10,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,29,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",279
11,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,CDIcomp,39,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",279
12,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,79,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",279
13,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,88,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",279
14,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,146,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",279
15,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,171,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",279
16,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,230,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",279
17,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,246,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",279
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,290,NA,NA,NA,NA,279
6,FALSE,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",626
7,FALSE,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",626
8,FALSE,10,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,0,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",626
10,FALSE,10,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDIcomp,1,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",626
11,FALSE,10,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,CDIcomp,14,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",626
12,FALSE,10,12,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,CDIcomp,60,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",626
13,FALSE,10,12,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,CDIcomp,98,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",626
16,FALSE,10,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,199,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",626
18,FALSE,10,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,255,NA,NA,NA,NA,626
6,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,9,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",664
7,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,16,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",664
8,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,17,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",664
9,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,18,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",664
10,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,31,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",664
11,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,57,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",664
12,FALSE,6,6,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,CDIcomp,91,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",664
13,FALSE,6,6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,106,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",664
14,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,138,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",664
15,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,187,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",664
16,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,195,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",664
17,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,230,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",664
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,275,NA,NA,NA,NA,664
6,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,42,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",129
7,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,70,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",129
8,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,106,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",129
9,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,135,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",129
10,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,169,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",129
11,FALSE,6,6,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,CDIcomp,208,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",129
12,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,CDIcomp,222,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",129
13,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,229,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",129
14,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,247,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",129
15,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,263,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",129
16,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,269,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",129
17,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,271,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",129
18,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,305,NA,NA,NA,NA,129
6,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,8,"44c, 0w","44c, 0w","44np, 0p","40np, 4p",860
7,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,8,"44c, 0w","44c, 0w","44np, 0p","35np, 9p",860
8,FALSE,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CDIcomp,28,"44c, 0w","43c, 1w","39np, 5p","33np, 11p",860
9,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CDIcomp,28,"44c, 0w","40c, 4w","38np, 6p","26np, 18p",860
10,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,48,"41c, 3w","37c, 7w","29np, 15p","21np, 23p",860
11,FALSE,6,6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CDIcomp,60,"36c, 8w","24c, 20w","25np, 19p","12np, 32p",860
12,FALSE,6,6,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,CDIcomp,102,"19c, 25w","15c, 29w","11np, 33p","6np, 38p",860
13,FALSE,6,6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,CDIcomp,161,"14c, 30w","8c, 36w","10np, 34p","3np, 41p",860
14,FALSE,6,6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,CDIcomp,206,"7c, 37w","4c, 40w","5np, 39p","1np, 43p",860
15,FALSE,6,6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,CDIcomp,226,"5c, 39w","3c, 41w","5np, 39p","1np, 43p",860
16,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,252,"4c, 40w","0c, 44w","0np, 44p","0np, 44p",860
17,FALSE,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CDIcomp,296,"0c, 44w","0c, 44w","0np, 44p","0np, 44p",860
